chrom,chromStart,chromEnd,MRT,OKSeq
chr1,0,1000,0.934807814657688,-0.1248911804708134
chr1,1000,2000,0.8963910937309265,-0.1621810215649007
chr1,2000,3000,0.9208379238843918,-0.1126189543646175
chr1,3000,4000,0.9266585484147072,-0.2352662994467673
chr1,4000,5000,0.9254951998591424,-0.3147079010497027
chr1,5000,6000,0.9022117257118224,-0.2884763879738306
chr1,6000,7000,0.8928991034626961,-0.2591056077407268
chr1,7000,8000,0.9091966673731804,-0.3261082659700553
chr1,8000,9000,0.9313158243894576,-0.352302819923414
chr1,9000,10000,0.8987197354435921,-0.2974308028061988
chr1,10000,11000,0.9068689942359924,-0.3000699123831439
chr1,11000,12000,0.911525309085846,-0.2182323261571862
chr1,12000,13000,0.8963910937309265,0.0023350344725103
chr1,13000,14000,0.8894061520695686,-0.0725097312091772
chr1,14000,15000,0.9278228655457496,-0.2273838549002986
chr1,15000,16000,0.8905704692006111,-0.2834314288515033
chr1,16000,17000,0.8940634205937386,-0.2799766702774606
chr1,17000,18000,0.9045403599739076,-0.4033959890704024
chr1,18000,19000,0.8777648955583572,-0.3419490209353532
chr1,19000,20000,0.8684513121843338,-0.3472851128632914
chr1,20000,21000,0.8696156293153763,-0.4321607726400022
chr1,21000,22000,0.859138697385788,-0.3777654172172036
chr1,22000,23000,0.8917347863316536,-0.4672469250263611
chr1,23000,24000,0.8719442635774612,-0.4235060671542553
chr1,24000,25000,0.8020957708358765,-0.1573052681475028
chr1,25000,26000,0.798602819442749,
chr1,26000,27000,,
chr1,27000,28000,0.800931453704834,-0.3637818195705224
chr1,28000,29000,0.698486864566803,-0.4306220760076159
chr1,29000,30000,0.736903578042984,-0.3619587284254477
chr1,30000,31000,0.7264266610145569,-0.1898676932766938
chr1,31000,32000,0.7846338897943497,0.046048367982351
chr1,32000,33000,0.728754311800003,0.313464328281598
chr1,33000,34000,0.7112924456596375,0.2468935980230673
chr1,34000,35000,0.7881258875131607,0.130324781887115
chr1,35000,36000,0.7601860910654068,0.1851224859152196
chr1,36000,37000,0.721769392490387,0.1969565394599438
chr1,37000,38000,0.7892902046442032,0.1310001910910776
chr1,38000,39000,0.7194417119026184,-0.1175533663334955
chr1,39000,40000,0.7497091591358185,-0.1794837542186174
chr1,40000,41000,0.7729916721582413,-0.1619324701158296
chr1,41000,42000,0.7415598928928375,-0.1053840879365163
chr1,42000,43000,0.7194417119026184,-0.0936188809823669
chr1,43000,44000,0.7857972383499146,0.0261257701463067
chr1,44000,45000,0.7788123041391373,0.1188104639675897
chr1,45000,46000,0.8277069181203842,0.0283422309701552
chr1,46000,47000,0.7869615703821182,-0.0214354992210084
chr1,47000,48000,0.8114083856344223,-0.0392406743093244
chr1,48000,49000,0.8416768163442612,-0.1213634619838514
chr1,49000,50000,0.8288712352514267,-0.1763091031089564
chr1,50000,51000,0.8463331162929535,-0.1764322841481699
chr1,51000,52000,0.847497433423996,-0.2110180023570119
chr1,52000,53000,0.8393481820821762,-0.2564476332060681
chr1,53000,54000,0.8195576518774033,-0.1781604326997898
chr1,54000,55000,0.8346918672323227,-0.2479530315541156
chr1,55000,56000,0.8195576518774033,-0.2159079088321589
chr1,56000,57000,0.8079164028167725,-0.4030447330684867
